Canonical,Team,Numbers,Variations
Kihei CLARK,House of Talents Spurs Kortrijk,13,Kihei CLARK
Keon AMBROSE-HYLTON,House of Talents Spurs Kortrijk,22,Keon AMBROSE-HYLTON
Jules ISEBAERT,House of Talents Spurs Kortrijk,7,Jules ISEBAERT
Jarne LESUISSE,House of Talents Spurs Kortrijk,6,Jarne LESUISSE
Sam HOFMAN,House of Talents Spurs Kortrijk,33,Sam HOFMAN
Bram BOGAERTS,House of Talents Spurs Kortrijk,9,Bram BOGAERTS
Joanic GRUTTNER BACOUL,House of Talents Spurs Kortrijk,55,Joanic GRUTTNER BACOUL
Darren WILLIAMS,House of Talents Spurs Kortrijk,0,Darren WILLIAMS
Servaas BUYSSCHAERT,House of Talents Spurs Kortrijk,14,Servaas BUYSSCHAERT
Ithiel HORTON,House of Talents Spurs Kortrijk,21,Ithiel HORTON
Luuk VAN BREE,Heroes Den Bosch,20,Luuk VAN BREE
Menno DIJKSTRA,Heroes Den Bosch,21,Menno DIJKSTRA
Boy VAN VLIET,Heroes Den Bosch,2,Boy VAN VLIET
Arunas MIKALAUSKAS,Heroes Den Bosch,0,Arunas MIKALAUSKAS
Kerwin WALTON,Heroes Den Bosch,24,Kerwin WALTON
Keevan VEINOT,Heroes Den Bosch,26,Keevan VEINOT
Jae'lyn WITHERS,Heroes Den Bosch,35,Jae'lyn WITHERS
Sean FLOOD,Heroes Den Bosch,11,Sean FLOOD
Troy KOEHLER,Heroes Den Bosch,13,Troy KOEHLER
Xavier CORK,Heroes Den Bosch,4,Xavier CORK
Jalen BLACKMON,Hubo Limburg United,55,Jalen BLACKMON
Noah BAUMANN,Hubo Limburg United,7,Noah BAUMANN
Marijn VERVERS,Hubo Limburg United,3,Marijn VERVERS
Wout LEEMANS,Hubo Limburg United,16,Wout LEEMANS
Aubin GATERETSE,Hubo Limburg United,10,Aubin GATERETSE
Quentin SERRON,Hubo Limburg United,5,Quentin SERRON
Thibault VANDERHAEGEN,Hubo Limburg United,21,Thibault VANDERHAEGEN
Nicholas MUSZYNSKI,Hubo Limburg United,33,Nicholas MUSZYNSKI
Nicolas TIMBERLAKE,Hubo Limburg United,25,Nicolas TIMBERLAKE
Oshean BRATHWAITE,Hubo Limburg United,6,Oshean BRATHWAITE
Carter GILMORE,Den Helder Suns,7,Carter GILMORE
Siem UIJTENDAAL,Den Helder Suns,2,Siem UIJTENDAAL
Reginald MESIDOR,Den Helder Suns,1,Reginald MESIDOR
Bryan ANTOINE,Den Helder Suns,0,Bryan ANTOINE
Drew STOVER,Den Helder Suns,42,Drew STOVER
Nick THRAN,Den Helder Suns,33,Nick THRAN
Jonas VISSER,Den Helder Suns,10,Jonas VISSER
Noah VAN DER HEIDEN,Den Helder Suns,77,Noah VAN DER HEIDEN
Thijs BEENS,Den Helder Suns,3,Thijs BEENS
Roel VAN OVERBEEK,PrismaWorx BAL,1,Roel VAN OVERBEEK
Kenyuoe ONDAAN,PrismaWorx BAL,7,Kenyuoe ONDAAN
Kjell DE GRAAF,PrismaWorx BAL,33,Kjell DE GRAAF
Niels VAN HOLST,PrismaWorx BAL,14,Niels VAN HOLST
Ryan MUHR,PrismaWorx BAL,17,Ryan MUHR
Romano SIBILO,PrismaWorx BAL,2,Romano SIBILO
Lon LICAN,PrismaWorx BAL,13,Lon LICAN
Milo HAUTEKEET,PrismaWorx BAL,91,Milo HAUTEKEET
Kara SENE,PrismaWorx BAL,81,Kara SENE
Gido NANNINGA,PrismaWorx BAL,10,Gido NANNINGA
Relja VARAGIC,PrismaWorx BAL,6,Relja VARAGIC
Niels VAN DEN EYNDE,Okapi Aalst,9,Niels VAN DEN EYNDE
Dante Jr MADDOX,Okapi Aalst,21,Dante Jr MADDOX
Eddie COLBERT III,Okapi Aalst,0,Eddie COLBERT III
Siebe LEDEGEN,Okapi Aalst,10,Siebe LEDEGEN
Ivan MARAS,Okapi Aalst,3,Ivan MARAS
Malcolm CARREIRA KREPS,Okapi Aalst,18,Malcolm CARREIRA KREPS
Mattias PALINCKX,Okapi Aalst,15,Mattias PALINCKX
Ozzy MASSEY,Okapi Aalst,11,Ozzy MASSEY
Jasper UNAL,Okapi Aalst,4,Jasper UNAL
Joseph ERUKA,Okapi Aalst,12,Joseph ERUKA
Glenn TEMMERMAN,Okapi Aalst,6,Glenn TEMMERMAN
Lucas KRUITHOF,Zorg en Zekerheid Leiden,17,Lucas KRUITHOF
Stan VAN DEN ELZEN,Zorg en Zekerheid Leiden,9,Stan VAN DEN ELZEN
Nate ROBERTS,Zorg en Zekerheid Leiden,28,Nate ROBERTS
Jibbe SICKING,Zorg en Zekerheid Leiden,12,Jibbe SICKING
Dimitri MACONDA,Zorg en Zekerheid Leiden,2,Dimitri MACONDA
Tyreek SCOTT-GRAYSON,Zorg en Zekerheid Leiden,5,Tyreek SCOTT-GRAYSON
Sam HUURMAN,Zorg en Zekerheid Leiden,13,Sam HUURMAN
Roeland SCHAFTENAAR,Zorg en Zekerheid Leiden,10,Roeland SCHAFTENAAR
Loek VAN ZEIL,Zorg en Zekerheid Leiden,11,Loek VAN ZEIL
Coen STOLK,Landstede Hammers,6,Coen STOLK
Devin WHITFIELD,Landstede Hammers,9,Devin WHITFIELD
Jalen THOMAS,Landstede Hammers,1,Jalen THOMAS
Boyd VAN DER VUURST,Landstede Hammers,13,Boyd VAN DER VUURST
Troy Drake DOBBS,Landstede Hammers,11,Troy Drake DOBBS
Leon WILLIAMS,Landstede Hammers,5,Leon WILLIAMS
Erik SAJANTILA,Landstede Hammers,12,Erik SAJANTILA
Grayson Alexander CARTER,Landstede Hammers,25,Grayson Alexander CARTER
Nelson Ellis HASKIN,Landstede Hammers,20,Nelson Ellis HASKIN
Wilson PRUITT,Stella Artois Leuven Bears,2,Wilson PRUITT
Tytan ANDERSON,Stella Artois Leuven Bears,32,Tytan ANDERSON
Roel BUCUMI,Stella Artois Leuven Bears,11,Roel BUCUMI
Guillaume DE MOL,Stella Artois Leuven Bears,7,Guillaume DE MOL
Kelton TALFORD,Stella Artois Leuven Bears,3,Kelton TALFORD
Wen MUKUBU,Stella Artois Leuven Bears,4,Wen MUKUBU
James BLACKMON,Stella Artois Leuven Bears,1,James BLACKMON
Victor VANDERSTRAETEN,Stella Artois Leuven Bears,6,Victor VANDERSTRAETEN
Stef SCHAUVLIEGER,Stella Artois Leuven Bears,17,Stef SCHAUVLIEGER
Noa TERCLAVERS,Stella Artois Leuven Bears,8,Noa TERCLAVERS
Nick STAMPLEY,Kangoeroes Basket Mechelen,24,Nick STAMPLEY
Joshua HEATH,Kangoeroes Basket Mechelen,30,Joshua HEATH
Yannick DAMMEN,Kangoeroes Basket Mechelen,2,Yannick DAMMEN
Zaba BANGALA,Kangoeroes Basket Mechelen,5,Zaba BANGALA
Mojeed EWUOSHO,Kangoeroes Basket Mechelen,8,Mojeed EWUOSHO
Leander DEDROOG,Kangoeroes Basket Mechelen,22,Leander DEDROOG
Augustas PECIUKEVICIUS,Kangoeroes Basket Mechelen,12,Augustas PECIUKEVICIUS
Seppe WILLEMS,Kangoeroes Basket Mechelen,32,Seppe WILLEMS
Zan KOSIC,Kangoeroes Basket Mechelen,11,Zan KOSIC
Andre GUSTAVSON,Filou Oostende,22,Andre GUSTAVSON
Noam YAACOV,Filou Oostende,31,Noam YAACOV
Simon BUYSSE,Filou Oostende,4,Simon BUYSSE
Pierre-Antoine GILLET,Filou Oostende,30,Pierre-Antoine GILLET
Haris BRATANOVIC,Filou Oostende,16,Haris BRATANOVIC
Aleksandre MERKVILADZE,Filou Oostende,23,Aleksandre MERKVILADZE
Joppe MENNES,Filou Oostende,8,Joppe MENNES
Tim WAERNIERS,Filou Oostende,19,Tim WAERNIERS
Max FIEDLER,Filou Oostende,15,Max FIEDLER
Moussa SYLLA,Filou Oostende,17,Moussa SYLLA
Tydus VERHOEVEN,Rotterdam City Basketball,17,Tydus VERHOEVEN
Jakari SPENCE,Rotterdam City Basketball,1,Jakari SPENCE
James GRAHAM,Rotterdam City Basketball,11,James GRAHAM
Tjall DE VAAL,Rotterdam City Basketball,21,Tjall DE VAAL
Chermano VAN LA PARRA,Rotterdam City Basketball,2,Chermano VAN LA PARRA
Lars NILSEN,Rotterdam City Basketball,3,Lars NILSEN
Chukwuzinife NWOKEJI,Rotterdam City Basketball,9,Chukwuzinife NWOKEJI
Noah SLINGERLAND,Rotterdam City Basketball,13,Noah SLINGERLAND
Nino VRENCKEN,Rotterdam City Basketball,4,Nino VRENCKEN
Liam VAN DER SCHALIE,Rotterdam City Basketball,12,Liam VAN DER SCHALIE
Dontrez STYLES,Val-Dieu Spirou Basket,3,Dontrez STYLES
Eric NOTTAGE,Val-Dieu Spirou Basket,11,Eric NOTTAGE
Juwan GARY,Val-Dieu Spirou Basket,4,Juwan GARY
Adedayo POLET,Val-Dieu Spirou Basket,5,Adedayo POLET
Enoch BOAKYE,Val-Dieu Spirou Basket,31,Enoch BOAKYE
Njegos SIKIRAS,Val-Dieu Spirou Basket,16,Njegos SIKIRAS
Zeb JACKSON,Val-Dieu Spirou Basket,2,Zeb JACKSON
Lukijan ZECEVIC,Val-Dieu Spirou Basket,13,Lukijan ZECEVIC
Maxime BILOLO KATUALA,Val-Dieu Spirou Basket,12,Maxime BILOLO KATUALA
Malcolm MAKWA,Val-Dieu Spirou Basket,77,Malcolm MAKWA
Quinten SMOUT,Val-Dieu Spirou Basket,22,Quinten SMOUT
Tonko VUKO,Brussels Basketball,7,Tonko VUKO
Demetric HORTON,Brussels Basketball,17,Demetric HORTON
Louis HAZARD,Brussels Basketball,10,Louis HAZARD
Alexandre LIBERT,Brussels Basketball,5,Alexandre LIBERT
Jared AMBROSE,Brussels Basketball,27,Jared AMBROSE
Arne SCHREVENS,Brussels Basketball,22,Arne SCHREVENS
Godwin TSHIMANGA,Brussels Basketball,24,Godwin TSHIMANGA
