Canonical,Team,Numbers,Variations
Amen Jenkins Cheeseman,Högsbo Basket,0,Amen Jenkins Cheeseman
Isaiah Hill,Högsbo Basket,1,Isaiah Hill
Emil Lundstedt,Högsbo Basket,3,Emil Lundstedt
Alem Hamza,Högsbo Basket,4,Alem Hamza
Jesper Hallberg,Högsbo Basket,5,Jesper Hallberg
Anes Zekovic,Högsbo Basket,6,Anes Zekovic
Alexander Karras,Högsbo Basket,7,Alexander Karras
Lukas Lindgren Widmark,Högsbo Basket,8,Lukas Lindgren Widmark
Jan Tratnik,Högsbo Basket,9,Jan Tratnik
Mario Drazic,Högsbo Basket,11,Mario Drazic
Tony Vitali,Högsbo Basket,22,Tony Vitali
Ephraim Bahati,Högsbo Basket,23,Ephraim Bahati
Isac Åhnstrand,Umeå Basket,1,Isac Åhnstrand
Melker Lindblom,Umeå Basket,2,Melker Lindblom
Emanuel Lundmark,Umeå Basket,7,Emanuel Lundmark
Basem Abdulkader,Umeå Basket,8,Basem Abdulkader
Isak Andersson,Umeå Basket,9,Isak Andersson
Adam Rask,Umeå Basket,11,Adam Rask
William Christopher Dunston Jr,Umeå Basket,12,William Christopher Dunston Jr
Alexander Yemane,Umeå Basket,17,Alexander Yemane
Duko Bos,Umeå Basket,22,Duko Bos
Nana Kwadwo Omari Antwi-Boasiako,Umeå Basket,25,Nana Kwadwo Omari Antwi-Boasiako
Vilhelm Bodingh,Uppsala Basket,1,Vilhelm Bodingh
Max Andersson,Uppsala Basket,2,Max Andersson
Henrik Jädersten,Uppsala Basket,3,Henrik Jädersten
Peter Stümer,Uppsala Basket,4,Peter Stümer
Lukas Friberg,Uppsala Basket,5,Lukas Friberg
Hugo Tidare,Uppsala Basket,6,Hugo Tidare
Melker Delryd,Uppsala Basket,8,Melker Delryd
Niklas Larsson,Uppsala Basket,13,Niklas Larsson
Åke Swahn,Uppsala Basket,17,Åke Swahn
Kaspar Mårtenson,Uppsala Basket,21,Kaspar Mårtenson
Olle Stümer,Uppsala Basket,27,Olle Stümer
Marcus Stålberg,Uppsala Basket,32,Marcus Stålberg
Richie Springs,Sloga Uppsala,2,Richie Springs
Markeith Browning II,Sloga Uppsala,3,Markeith Browning II
Alan Zekovic,Sloga Uppsala,6,Alan Zekovic
Emil Angemo,Sloga Uppsala,8,Emil Angemo
Fabio Bergman Valatabar,Sloga Uppsala,9,Fabio Bergman Valatabar
Axel Nordström,Sloga Uppsala,10,Axel Nordström
Jonathan Ninkingira,Sloga Uppsala,12,Jonathan Ninkingira
Dragan Damjanovic,Sloga Uppsala,13,Dragan Damjanovic
Marko Dujkovic,Sloga Uppsala,22,Marko Dujkovic
Milutin Vujicic,Sloga Uppsala,27,Milutin Vujicic
Eric Kibi,Sloga Uppsala,32,Eric Kibi
Timur Grinev,Sloga Uppsala,44,Timur Grinev
Ryker Cisarik,Norrköping Dolphins,5,Ryker Cisarik
Tim Dahlin,Norrköping Dolphins,8,Tim Dahlin
Jacob Hadi,Norrköping Dolphins,13,Jacob Hadi
Pierre Hampton,Norrköping Dolphins,15,Pierre Hampton
Hugo Bergström,Norrköping Dolphins,21,Hugo Bergström
Dallion Johnson,Norrköping Dolphins,23,Dallion Johnson
Sebastian Forsling,Norrköping Dolphins,25,Sebastian Forsling
Nathan Dawit,Norrköping Dolphins,94,Nathan Dawit
Charles Barton,Högsbo Basket,0,Charles Barton
Jonathan Peleg,Högsbo Basket,26,Jonathan Peleg
KJ Jenkins,Borås Basket,0,KJ Jenkins
Ali Sow,Borås Basket,1,Ali Sow
Oskar Palmquist,Borås Basket,2,Oskar Palmquist
Melvin Fredenlund,Borås Basket,3,Melvin Fredenlund
William Guténius,Borås Basket,6,William Guténius
Fredrik Andersson,Borås Basket,8,Fredrik Andersson
Andreas Person,Borås Basket,9,Andreas Person
Filip Larsson,Borås Basket,14,Filip Larsson
Justin Vander Baan,Borås Basket,18,Justin Vander Baan
AJ Clayton,Borås Basket,23,AJ Clayton
John Brändmark,Borås Basket,66,John Brändmark
Mirko Djeric,Nässjö Basket,1,Mirko Djeric
Steven Strong Jr,Nässjö Basket,2,Steven Strong Jr
Mio Hjalmarsson,Nässjö Basket,3,Mio Hjalmarsson
Anton Johansson,Nässjö Basket,4,Anton Johansson
Emmanuel Kuac,Nässjö Basket,6,Emmanuel Kuac
