Canonical,Team,Numbers,Variations
LUCA VILDOZA,Virtus Bologna,1,LUCA VILDOZA
MATTEO BAIOCCHI,Virtus Bologna,2,MATTEO BAIOCCHI
CARSEN EDWARDS,Virtus Bologna,3,CARSEN EDWARDS
ALESSANDRO PAJOLA,Virtus Bologna,6,ALESSANDRO PAJOLA
MATTEO ACCORSI,Virtus Bologna,8,MATTEO ACCORSI
DANIEL HACKETT,Virtus Bologna,23,DANIEL HACKETT
MATTHEW MORGAN,Virtus Bologna,30,MATTHEW MORGAN
SALIOU NIANG,Virtus Bologna,7,SALIOU NIANG
ALEN SMAILAGIC,Virtus Bologna,9,ALEN SMAILAGIC
DERRICK ALSTON JR.,Virtus Bologna,21,DERRICK ALSTON JR.
FRANCESCO FERRARI,Virtus Bologna,24,FRANCESCO FERRARI
KARIM JALLOW,Virtus Bologna,34,KARIM JALLOW
NICOLA AKELE,Virtus Bologna,45,NICOLA AKELE
ALIOU DIARRA,Virtus Bologna,31,ALIOU DIARRA
MOUHAMET DIOUF,Virtus Bologna,35,MOUHAMET DIOUF
CARLIK JONES,Partizan Mozzart Bet Belgrade,1,CARLIK JONES
SHAKE MILTON,Partizan Mozzart Bet Belgrade,2,SHAKE MILTON
DUANE WASHINGTON,Partizan Mozzart Bet Belgrade,4,DUANE WASHINGTON
MITAR BOSNJAKOVIC,Partizan Mozzart Bet Belgrade,8,MITAR BOSNJAKOVIC
NICK CALATHES,Partizan Mozzart Bet Belgrade,33,NICK CALATHES
MIIKKA MUURINEN,Partizan Mozzart Bet Belgrade,3,MIIKKA MUURINEN
DYLAN OSETKOWSKI,Partizan Mozzart Bet Belgrade,5,DYLAN OSETKOWSKI
MARIO NAKIC,Partizan Mozzart Bet Belgrade,7,MARIO NAKIC
VANJA MARINKOVIC,Partizan Mozzart Bet Belgrade,9,VANJA MARINKOVIC
UROS MIJAILOVIC,Partizan Mozzart Bet Belgrade,10,UROS MIJAILOVIC
ALEKSEJ POKUSEVSKI,Partizan Mozzart Bet Belgrade,11,ALEKSEJ POKUSEVSKI
STERLING BROWN,Partizan Mozzart Bet Belgrade,12,STERLING BROWN
ALEKSA RADANOV,Partizan Mozzart Bet Belgrade,13,ALEKSA RADANOV
ISAAC BONGA,Partizan Mozzart Bet Belgrade,17,ISAAC BONGA
ARIJAN LAKIC,Partizan Mozzart Bet Belgrade,19,ARIJAN LAKIC
UROS DANILOVIC,Partizan Mozzart Bet Belgrade,44,UROS DANILOVIC
TONYE JEKIRI,Partizan Mozzart Bet Belgrade,23,TONYE JEKIRI
BRUNO FERNANDO,Partizan Mozzart Bet Belgrade,24,BRUNO FERNANDO
Player None,Virtus Bologna,None,Player None
ELIE OKOBO,AS Monaco,0,ELIE OKOBO
TERRY TARPEY,AS Monaco,22,TERRY TARPEY
NEMANJA NEDOVIC,AS Monaco,26,NEMANJA NEDOVIC
MATTHEW STRAZEL,AS Monaco,32,MATTHEW STRAZEL
MIKE JAMES,AS Monaco,55,MIKE JAMES
JARON BLOSSOMGAME,AS Monaco,4,JARON BLOSSOMGAME
ALPHA DIALLO,AS Monaco,11,ALPHA DIALLO
JUHANN BEGARIN,AS Monaco,23,JUHANN BEGARIN
DANIEL THEIS,AS Monaco,10,DANIEL THEIS
KEVARRIUS HAYES,AS Monaco,13,KEVARRIUS HAYES
NIKOLA MIROTIC,AS Monaco,33,NIKOLA MIROTIC
THOMAS WALKUP,Olympiacos Piraeus,0,THOMAS WALKUP
FRANK NTILIKINA,Olympiacos Piraeus,1,FRANK NTILIKINA
GIANNOULIS LARENTZAKIS,Olympiacos Piraeus,5,GIANNOULIS LARENTZAKIS
MONTE MORRIS,Olympiacos Piraeus,11,MONTE MORRIS
OMIROS NETZIPOGLOU,Olympiacos Piraeus,21,OMIROS NETZIPOGLOU
TYLER DORSEY,Olympiacos Piraeus,22,TYLER DORSEY
CORY JOSEPH,Olympiacos Piraeus,34,CORY JOSEPH
SHAQUIELLE MCKISSIC,Olympiacos Piraeus,77,SHAQUIELLE MCKISSIC
TYSON WARD,Olympiacos Piraeus,3,TYSON WARD
SASHA VEZENKOV,Olympiacos Piraeus,14,SASHA VEZENKOV
KOSTAS PAPANIKOLAOU,Olympiacos Piraeus,16,KOSTAS PAPANIKOLAOU
ALEC PETERS,Olympiacos Piraeus,25,ALEC PETERS
EVAN FOURNIER,Olympiacos Piraeus,94,EVAN FOURNIER
MOUSTAPHA FALL,Olympiacos Piraeus,10,MOUSTAPHA FALL
NIKOLA MILUTINOV,Olympiacos Piraeus,33,NIKOLA MILUTINOV
DONTA HALL,Olympiacos Piraeus,45,DONTA HALL
TYRIQUE JONES,Olympiacos Piraeus,88,TYRIQUE JONES
NATE MASON,Dubai Basketball,1,NATE MASON
ALEKSA AVRAMOVIC,Dubai Basketball,4,ALEKSA AVRAMOVIC
KLEMEN PREPELIC,Dubai Basketball,7,KLEMEN PREPELIC
BOOGIE ELLIS,Dubai Basketball,9,BOOGIE ELLIS
KOSTA KONDIC,Dubai Basketball,11,KOSTA KONDIC
DZANAN MUSA,Dubai Basketball,13,DZANAN MUSA
MCKINLEY WRIGHT IV,Dubai Basketball,25,MCKINLEY WRIGHT IV
NEMANJA DANGUBIC,Dubai Basketball,2,NEMANJA DANGUBIC
DWAYNE BACON,Dubai Basketball,3,DWAYNE BACON
AWUDU ABASS,Dubai Basketball,5,AWUDU ABASS
DAVIS BERTANS,Dubai Basketball,8,DAVIS BERTANS
JUSTIN ANDERSON,Dubai Basketball,10,JUSTIN ANDERSON
